Gene,Transcript,Motif,Cluster,Counts,p_adjusted,Phred_score
1700017B05Rik,ENSMUST00000034846.7,mmu-miR-762,nucleus_positive,6.0,6.370862877638691e-09,8.195801742292897
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-762,nucleus_positive,5.0,1.2792897344655994e-07,6.893031085052614
1700017B05Rik,ENSMUST00000034846.7,mmu-miR-5126,nucleus_positive,1.0,0.020600000000000004,1.6861327796308463
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-5126,nucleus_positive,1.0,0.020600000000000004,1.6861327796308463
1700017B05Rik,ENSMUST00000215426.2,mmu-miR-5126,nucleus_positive,1.0,0.020600000000000004,1.6861327796308463
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-6998-3p,extracellular_positive,1.0,0.024099999999999996,1.6179829574251317
1700017B05Rik,ENSMUST00000034846.7,mmu-miR-6953-5p,nucleoplasm_positive,1.0,0.0327,1.4854522473397138
1700017B05Rik,ENSMUST00000213199.2,mmu-miR-6953-5p,nucleoplasm_positive,1.0,0.0327,1.4854522473397138
1700017B05Rik,ENSMUST00000215426.2,mmu-miR-346-3p,mitochondrion_negative,1.0,0.04009999999999999,1.3968556273798176
1700017B05Rik,ENSMUST00000217657.2,mmu-miR-346-3p,mitochondrion_negative,1.0,0.04009999999999999,1.3968556273798176
1700017B05Rik,ENSMUST00000214583.2,mmu-miR-762,nucleus_positive,1.0,0.0498,1.3027706572402824
1700017B05Rik,ENSMUST00000215298.2,mmu-miR-762,nucleus_positive,1.0,0.0498,1.3027706572402824
2010204K13Rik,ENSMUST00000309431.1,mmu-miR-466n-5p,nucleus_positive,6.0,5.590754058239996e-12,11.252529612284084
2010204K13Rik,ENSMUST00000309431.1,mmu-miR-7069-5p,nucleoplasm_positive,1.0,0.0188,1.72584215073632
2010204K13Rik,ENSMUST00000128571.4,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000147870.3,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000150671.4,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000154346.4,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000241710.2,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000242374.2,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000244743.2,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309421.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309422.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309423.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309424.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309425.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309426.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309427.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309428.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309429.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309430.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309431.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309432.1,mmu-miR-346-3p,mitochondrion_negative,1.0,0.03479999999999999,1.458420756053419
2010204K13Rik,ENSMUST00000309430.1,mmu-miR-6919-3p,nucleoplasm_negative,1.0,0.0365,1.4377071355435251
2510009E07Rik,ENSMUST00000053336.8,mmu-miR-5126,nucleus_positive,2.0,0.0005479600000000001,3.2612511429997793
2510009E07Rik,ENSMUST00000231592.2,mmu-miR-5126,nucleus_positive,2.0,0.0005479600000000001,3.2612511429997793
2510009E07Rik,ENSMUST00000232634.2,mmu-miR-5126,nucleus_positive,2.0,0.0005479600000000001,3.2612511429997793
2510009E07Rik,ENSMUST00000053336.8,mmu-miR-6979-5p,cytoplasm_positive,1.0,0.029600000000000005,1.5287082889410613
2510009E07Rik,ENSMUST00000053336.8,mmu-miR-5110,ER_negative,1.0,0.037000000000000005,1.4317982759330048
2510009E07Rik,ENSMUST00000231592.2,mmu-miR-5110,ER_negative,1.0,0.037000000000000005,1.4317982759330048
2510009E07Rik,ENSMUST00000053336.8,mmu-miR-762,nucleus_positive,1.0,0.0481,1.317854923626168
2510009E07Rik,ENSMUST00000231592.2,mmu-miR-762,nucleus_positive,1.0,0.0481,1.317854923626168
2510009E07Rik,ENSMUST00000232634.2,mmu-miR-762,nucleus_positive,1.0,0.0481,1.317854923626168
4931406C07Rik,ENSMUST00000180339.8,mmu-miR-5126,nucleus_positive,2.0,0.0002318680000000001,3.634759184015593
4931406C07Rik,ENSMUST00000216077.2,mmu-miR-762,nucleus_positive,2.0,0.0011802600000000002,2.9280223112301784
4931406C07Rik,ENSMUST00000178977.9,mmu-miR-5126,nucleus_positive,1.0,0.0067599999999999995,2.170053304058364
4931406C07Rik,ENSMUST00000217042.2,mmu-miR-466i-3p,chromatin_positive,1.0,0.011400000000000002,1.943095148663527
